Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,45,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0024.jp2,,Vol250,,,,,-1,0024,0,0
Image,46,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0187.jp2,,Vol250,,,,,-1,0187,0,0
Image,47,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0193.jp2,,Vol250,,,,,-1,0193,0,0
Image,48,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0178.jp2,,Vol250,,,,,-1,0178,0,0
Image,49,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0144.jp2,,Vol250,,,,,-1,0144,0,0
Image,50,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0150.jp2,,Vol250,,,,,-1,0150,0,0
Image,51,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0151.jp2,,Vol250,,,,,-1,0151,0,0
Image,52,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0145.jp2,,Vol250,,,,,-1,0145,0,0
Image,53,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0179.jp2,,Vol250,,,,,-1,0179,0,0
Image,54,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0192.jp2,,Vol250,,,,,-1,0192,0,0
Image,55,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0186.jp2,,Vol250,,,,,-1,0186,0,0
Image,56,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0025.jp2,,Vol250,,,,,-1,0025,0,0
Image,57,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0031.jp2,,Vol250,,,,,-1,0031,0,0
Image,58,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0019.jp2,,Vol250,,,,,-1,0019,0,0
